Эчпочмак,
Сбитень,
Чуду,
Окрошка,
Маннаякаша,
Калитки,
Калач,
Адыгейскийсыр,
Кольцапесочногопеченьясарахисом,
Рыбарасстегай,
Клюквавсахарнойпудре,
Маринованныегрибы,
Перловаякаша,
Баклажаннаяикра,
Коврижка,
Перепечи,
Каравай,
Курник,
Щавелевыйсуп,
Ряженка,
Яйца,фаршированныеикрой,
Хычин,
Кулич,
Пасха,
Гречневаякашасчесноком,
Печеныеяблоки,
Салатизкрабовыхпалочек,
Шаньги,
Блинныйторт,
ФаршированныйПерец,
Торт Москва,
Ленивыевареники,
ПирогЦветаевой,
Уха,
СалатМимоза,
Пастила,
Зефир,
Баранки,
Бублики/рогалики,
Солянка,
Ленинградскийторт,
Кисель,
Беляши,
Варенье,
Маринованные/малосольныеогурцы,
Вафельныетрубочки,
Квашенаякапуста,
Пшеннаятыквеннаякаша,
Сахарныеязычки,
Осетинскийпирог,
Кексысромовойбабой,
Винегрет,
Чак-чак,
КотлетыПожарского,
Запеканка,
ТортШарлотка,
Гурьевскаякаша,
Сочник,
Сметанник,
Рассольник,
Компот,
Курицапо-Киевски,
КольцоТворога,
Пирожки,
Ватрушка,
Чебурек,
Голубцы,
Чурчхела,
Глазированныетворожныесырки,
Котлетыскартофельнымпюре,
Манник,
Невскийпирог,
Орлофф,
ТортБуше,
Кефир,
Пончики,
Медовик,
ТортКартошка,
Бигос,
Орешки,
Пражскийторт,
Оладьи,
Вареники,
Шашлык,
Квас,
Птичьемолоко,
Пломбир,
Жареныйкартофельсгрибами,
Тульскийпряник,
Селедкаподшубой,
Холодец,
СалатОливье,
Макароныпо-флотски,
Торт Наполеон,
Сырники,
Бефстроганов,
Щи,
Блины,
Пельмени,
Борщ,